Company,Symbol,ISIN Code
3M India Ltd.,3MINDIA.NS,INE470A01017
8K Miles Soft Services Ltd.,8KMILES.NS,INE650K01021
ABB India Ltd.,ABB.NS,INE117A01022
ACC Ltd.,ACC.NS,INE012A01025
AIA Engineering Ltd.,AIAENG.NS,INE212H01026
APL Apollo Tubes Ltd.,APLAPOLLO.NS,INE702C01019
AU Small Finance Bank Ltd.,AUBANK.NS,INE949L01017
Aarti Industries Ltd.,AARTIIND.NS,INE769A01020
Adani Green Energy Ltd.,ADANIGREEN.NS,INE364U01010
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,INE742F01042
Adani Power Ltd.,ADANIPOWER.NS,INE814H01011
Adani Transmission Ltd.,ADANITRANS.NS,INE931S01010
Aditya Birla Capital Ltd.,ABCAPITAL.NS,INE674K01013
Aditya Birla Fashion and Retail Ltd.,ABFRL.NS,INE647O01011
Advanced Enzyme Tech Ltd.,ADVENZYMES.NS,INE837H01020
Aegis Logistics Ltd.,AEGISCHEM.NS,INE208C01025
Ajanta Pharmaceuticals Ltd.,AJANTPHARM.NS,INE031B01049
Akzo Nobel India Ltd.,AKZOINDIA.NS,INE133A01011
Alembic Pharmaceuticals Ltd.,APLLTD.NS,INE901L01018
Alkem Laboratories Ltd.,ALKEM.NS,INE540L01014
Allahabad Bank,ALBK.NS,INE428A01015
Allcargo Logistics Ltd.,ALLCARGO.NS,INE418H01029
Amara Raja Batteries Ltd.,AMARAJABAT.NS,INE885A01032
Ambuja Cements Ltd.,AMBUJACEM.NS,INE079A01024
Andhra Bank,ANDHRABANK.NS,INE434A01013
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,INE437A01024
Apollo Tyres Ltd.,APOLLOTYRE.NS,INE438A01022
Ashok Leyland Ltd.,ASHOKLEY.NS,INE208A01029
Ashoka Buildcon Ltd.,ASHOKA.NS,INE442H01029
Asian Paints Ltd.,ASIANPAINT.NS,INE021A01026
Aster DM Healthcare Ltd.,ASTERDM.NS,INE914M01019
Astral Poly Technik Ltd.,ASTRAL.NS,INE006I01046
Atul Ltd.,ATUL.NS,INE100A01010
Aurobindo Pharma Ltd.,AUROPHARMA.NS,INE406A01037
Avanti Feeds Ltd.,AVANTIFEED.NS,INE871C01038
Avenue Supermarts Ltd.,DMART.NS,INE192R01011
Axis Bank Ltd.,AXISBANK.NS,INE238A01034
BASF India Ltd.,BASF.NS,INE373A01013
BEML Ltd.,BEML.NS,INE258A01016
BSE Ltd.,BSE.NS,INE118H01025
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,INE917I01010
Bajaj Consumer Care Ltd.,BAJAJCON.NS,INE933K01021
Bajaj Electricals Ltd,BAJAJELEC.NS,INE193E01025
Bajaj Finance Ltd.,BAJFINANCE.NS,INE296A01024
Bajaj Finserv Ltd.,BAJAJFINSV.NS,INE918I01018
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS,INE118A01012
Balkrishna Industries Ltd.,BALKRISIND.NS,INE787D01026
Balmer Lawrie & Co. Ltd.,BALMLAWRIE.NS,INE164A01016
Balrampur Chini Mills Ltd.,BALRAMCHIN.NS,INE119A01028
Bandhan Bank Ltd.,BANDHANBNK.NS,INE545U01014
Bank of Baroda,BANKBARODA.NS,INE028A01039
Bank of India,BANKINDIA.NS,INE084A01016
Bata India Ltd.,BATAINDIA.NS,INE176A01028
Berger Paints India Ltd.,BERGEPAINT.NS,INE463A01038
Bharat Dynamics Ltd.,BDL.NS,INE171Z01018
Bharat Electronics Ltd.,BEL.NS,INE263A01024
Bharat Forge Ltd.,BHARATFORG.NS,INE465A01025
Bharat Heavy Electricals Ltd.,BHEL.NS,INE257A01026
Bharat Petroleum Corporation Ltd.,BPCL.NS,INE029A01011
Bharti Airtel Ltd.,BHARTIARTL.NS,INE397D01024
Bharti Infratel Ltd.,INFRATEL.NS,INE121J01017
Biocon Ltd.,BIOCON.NS,INE376G01013
Birla Corporation Ltd.,BIRLACORPN.NS,INE340A01012
Bliss GVS Pharma Ltd.,BLISSGVS.NS,INE416D01022
Blue Dart Express Ltd.,BLUEDART.NS,INE233B01017
Blue Star Ltd.,BLUESTARCO.NS,INE472A01039
Bombay Burmah Trading Corporation Ltd.,BBTC.NS,INE050A01025
Bombay Dyeing & Manufacturing Co. Ltd.,BOMDYEING.NS,INE032A01023
Bosch Ltd.,BOSCHLTD.NS,INE323A01026
Brigade Enterprises Ltd.,BRIGADE.NS,INE791I01019
Britannia Industries Ltd.,BRITANNIA.NS,INE216A01030
CARE Ratings Ltd.,CARERATING.NS,INE752H01013
CCL Products (I) Ltd.,CCL.NS,INE421D01022
CG Power and Industrial Solutions Ltd.,CGPOWER.NS,INE067A01029
CRISIL Ltd.,CRISIL.NS,INE007A01025
Cadila Healthcare Ltd.,CADILAHC.NS,INE010B01027
Can Fin Homes Ltd.,CANFINHOME.NS,INE477A01020
Canara Bank,CANBK.NS,INE476A01014
Caplin Point Laboratories Ltd.,CAPLIPOINT.NS,INE475E01026
Carborundum Universal Ltd.,CARBORUNIV.NS,INE120A01034
Castrol India Ltd.,CASTROLIND.NS,INE172A01027
Ceat Ltd.,CEATLTD.NS,INE482A01020
Central Bank of India,CENTRALBK.NS,INE483A01010
Central Depository Services (India) Ltd.,CDSL.NS,INE736A01011
Century Plyboards (India) Ltd.,CENTURYPLY.NS,INE348B01021
Cera Sanitaryware Ltd,CERA.NS,INE739E01017
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT.NS,INE085A01013
Chennai Petroleum Corporation Ltd.,CHENNPETRO.NS,INE178A01016
Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN.NS,INE121A01016
Cipla Ltd.,CIPLA.NS,INE059A01026
City Union Bank Ltd.,CUB.NS,INE491A01021
Coal India Ltd.,COALINDIA.NS,INE522F01014
Cochin Shipyard Ltd.,COCHINSHIP.NS,INE704P01017
Coffee Day Enterprises Ltd.,COFFEEDAY.NS,INE335K01011
Colgate Palmolive (India) Ltd.,COLPAL.NS,INE259A01022
Container Corporation of India Ltd.,CONCOR.NS,INE111A01025
Coromandel International Ltd.,COROMANDEL.NS,INE169A01031
Corporation Bank,CORPBANK.NS,INE112A01023
CreditAccess Grameen Ltd.,CREDITACC.NS,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS,INE299U01018
Cummins India Ltd.,CUMMINSIND.NS,INE298A01020
Cyient Ltd.,CYIENT.NS,INE136B01020
D.B.Corp Ltd.,DBCORP.NS,INE950I01011
DCB Bank Ltd.,DCBBANK.NS,INE503A01015
DCM Shriram Ltd.,DCMSHRIRAM.NS,INE499A01024
DLF Ltd.,DLF.NS,INE271C01023
Dabur India Ltd.,DABUR.NS,INE016A01026
Deepak Fertilisers & Petrochemicals Corp. Ltd.,DEEPAKFERT.NS,INE501A01019
Delta Corp Ltd.,DELTACORP.NS,INE124G01033
Den Networks Ltd.,DEN.NS,INE947J01015
Dewan Housing Finance Corporation Ltd.,DHFL.NS,INE202B01012
Dilip Buildcon Ltd.,DBL.NS,INE917M01012
Dish TV India Ltd.,DISHTV.NS,INE836F01026
Dishman Carbogen Amcis Ltd.,DCAL.NS,INE385W01011
Divi's Laboratories Ltd.,DIVISLAB.NS,INE361B01024
Dixon Technologies (India) Ltd.,DIXON.NS,INE935N01012
Dr. Lal Path Labs Ltd.,LALPATHLAB.NS,INE600L01024
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,INE089A01023
Dredging Corporation of India Ltd.,DREDGECORP.NS,INE506A01018
E.I.D. Parry (India) Ltd.,EIDPARRY.NS,INE126A01031
EIH Ltd.,EIHOTEL.NS,INE230A01023
Edelweiss Financial Services Ltd.,EDELWEISS.NS,INE532F01054
Eicher Motors Ltd.,EICHERMOT.NS,INE066A01013
Elgi Equipments Ltd.,ELGIEQUIP.NS,INE285A01027
Emami Ltd.,EMAMILTD.NS,INE548C01032
Endurance Technologies Ltd.,ENDURANCE.NS,INE913H01037
Engineers India Ltd.,ENGINERSIN.NS,INE510A01028
Equitas Holdings Ltd.,EQUITAS.NS,INE988K01017
Eris Lifesciences Ltd.,ERIS.NS,INE406M01024
Eros Intl Media Ltd.,EROSMEDIA.NS,INE416L01017
Escorts Ltd.,ESCORTS.NS,INE042A01014
Eveready Industries India Ltd.,EVEREADY.NS,INE128A01029
Excel Crop Care Ltd.,EXCELCROP.NS,INE223G01017
Exide Industries Ltd.,EXIDEIND.NS,INE302A01020
FDC Ltd.,FDC.NS,INE258B01022
Federal Bank Ltd.,FEDERALBNK.NS,INE171A01029
