Company,Symbol,ISIN Code
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS.NS,INE742F01042
Asian Paints Ltd.,ASIANPAINT.NS,INE021A01026
Axis Bank Ltd.,AXISBANK.NS,INE238A01034
Bajaj Auto Ltd.,BAJAJ-AUTO.NS,INE917I01010
Bajaj Finance Ltd.,BAJFINANCE.NS,INE296A01024
Bajaj Finserv Ltd.,BAJAJFINSV.NS,INE918I01018
Bharat Petroleum Corporation Ltd.,BPCL.NS,INE029A01011
Bharti Airtel Ltd.,BHARTIARTL.NS,INE397D01024
Bharti Infratel Ltd.,INFRATEL.NS,INE121J01017
Cipla Ltd.,CIPLA.NS,INE059A01026
Coal India Ltd.,COALINDIA.NS,INE522F01014
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,INE089A01023
Eicher Motors Ltd.,EICHERMOT.NS,INE066A01013
GAIL (India) Ltd.,GAIL.NS,INE129A01019
Grasim Industries Ltd.,GRASIM.NS,INE047A01021
HCL Technologies Ltd.,HCLTECH.NS,INE860A01027
HDFC Bank Ltd.,HDFCBANK.NS,INE040A01026
Hero MotoCorp Ltd.,HEROMOTOCO.NS,INE158A01026
Hindalco Industries Ltd.,HINDALCO.NS,INE038A01020
Hindustan Petroleum Corporation Ltd.,HINDPETRO.NS,INE094A01015
Hindustan Unilever Ltd.,HINDUNILVR.NS,INE030A01027
Housing Development Finance Corporation Ltd.,HDFC.NS,INE001A01036
I T C Ltd.,ITC.NS,INE154A01025
ICICI Bank Ltd.,ICICIBANK.NS,INE090A01021
Indiabulls Housing Finance Ltd.,IBULHSGFIN.NS,INE148I01020
Indian Oil Corporation Ltd.,IOC.NS,INE242A01010
IndusInd Bank Ltd.,INDUSINDBK.NS,INE095A01012
Infosys Ltd.,INFY.NS,INE009A01021
JSW Steel Ltd.,JSWSTEEL.NS,INE019A01038
Kotak Mahindra Bank Ltd.,KOTAKBANK.NS,INE237A01028
Larsen & Toubro Ltd.,LT.NS,INE018A01030
Mahindra & Mahindra Ltd.,M&M.NS,INE101A01026
Maruti Suzuki India Ltd.,MARUTI.NS,INE585B01010
NTPC Ltd.,NTPC.NS,INE733E01010
Oil & Natural Gas Corporation Ltd.,ONGC.NS,INE213A01029
Power Grid Corporation of India Ltd.,POWERGRID.NS,INE752E01010
Reliance Industries Ltd.,RELIANCE.NS,INE002A01018
State Bank of India,SBIN.NS,INE062A01020
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,INE044A01036
Tata Consultancy Services Ltd.,TCS.NS,INE467B01029
Tata Motors Ltd.,TATAMOTORS.NS,INE155A01022
Tata Steel Ltd.,TATASTEEL.NS,INE081A01012
Tech Mahindra Ltd.,TECHM.NS,INE669C01036
Titan Company Ltd.,TITAN.NS,INE280A01028
UPL Ltd.,UPL.NS,INE628A01036
UltraTech Cement Ltd.,ULTRACEMCO.NS,INE481G01011
Vedanta Ltd.,VEDL.NS,INE205A01025
Wipro Ltd.,WIPRO.NS,INE075A01022
Yes Bank Ltd.,YESBANK.NS,INE528G01027
Zee Entertainment Enterprises Ltd.,ZEEL.NS,INE256A01028
